ADS1115 CONFIG: 0x8488
XU4 Microsecond: 3989520, ADC Sample: -402
XU4 Microsecond: 3997548, ADC Sample: -586
XU4 Microsecond: 4005575, ADC Sample: -439
XU4 Microsecond: 4013613, ADC Sample: -593
XU4 Microsecond: 4021628, ADC Sample: -508
XU4 Microsecond: 4029653, ADC Sample: -587
XU4 Microsecond: 4037682, ADC Sample: 217
XU4 Microsecond: 4045710, ADC Sample: 559
XU4 Microsecond: 4053737, ADC Sample: 448
XU4 Microsecond: 4061765, ADC Sample: 468
XU4 Microsecond: 4069790, ADC Sample: 477
XU4 Microsecond: 4077817, ADC Sample: 429
XU4 Microsecond: 4085846, ADC Sample: 493
XU4 Microsecond: 4093872, ADC Sample: 445
XU4 Microsecond: 4101898, ADC Sample: 518
XU4 Microsecond: 4109924, ADC Sample: 386
XU4 Microsecond: 4117952, ADC Sample: 537
XU4 Microsecond: 4125981, ADC Sample: 480
XU4 Microsecond: 4134006, ADC Sample: 558
XU4 Microsecond: 4142031, ADC Sample: 383
XU4 Microsecond: 4150062, ADC Sample: 570
XU4 Microsecond: 4158087, ADC Sample: 376
XU4 Microsecond: 4166114, ADC Sample: 569
XU4 Microsecond: 4174130, ADC Sample: 424
XU4 Microsecond: 4182171, ADC Sample: 579
XU4 Microsecond: 4190196, ADC Sample: 405
XU4 Microsecond: 4198224, ADC Sample: 586
XU4 Microsecond: 4206251, ADC Sample: 350
XU4 Microsecond: 4214278, ADC Sample: 582
XU4 Microsecond: 4222305, ADC Sample: 437
XU4 Microsecond: 4230332, ADC Sample: 556
XU4 Microsecond: 4238342, ADC Sample: 477
XU4 Microsecond: 4246378, ADC Sample: 530
XU4 Microsecond: 4254407, ADC Sample: 458
XU4 Microsecond: 4262433, ADC Sample: 574
XU4 Microsecond: 4270460, ADC Sample: 466
XU4 Microsecond: 4278486, ADC Sample: 479
XU4 Microsecond: 4286513, ADC Sample: -110
XU4 Microsecond: 4294540, ADC Sample: -546
XU4 Microsecond: 4302569, ADC Sample: -518
XU4 Microsecond: 4310595, ADC Sample: -526
XU4 Microsecond: 4318624, ADC Sample: -552
XU4 Microsecond: 4326650, ADC Sample: -471
XU4 Microsecond: 4334677, ADC Sample: -592
XU4 Microsecond: 4342704, ADC Sample: -296
XU4 Microsecond: 4350731, ADC Sample: -607
XU4 Microsecond: 4358822, ADC Sample: -390
XU4 Microsecond: 4366788, ADC Sample: -616
XU4 Microsecond: 4374813, ADC Sample: -379
XU4 Microsecond: 4382840, ADC Sample: -624
XU4 Microsecond: 4390866, ADC Sample: -409
XU4 Microsecond: 4398893, ADC Sample: -618
XU4 Microsecond: 4406919, ADC Sample: -312
XU4 Microsecond: 4414953, ADC Sample: -621
XU4 Microsecond: 4422975, ADC Sample: -386
XU4 Microsecond: 4431032, ADC Sample: -612
XU4 Microsecond: 4439028, ADC Sample: -399
XU4 Microsecond: 4447131, ADC Sample: -615
XU4 Microsecond: 4455153, ADC Sample: -434
XU4 Microsecond: 4463119, ADC Sample: -551
XU4 Microsecond: 4471140, ADC Sample: -464
XU4 Microsecond: 4479178, ADC Sample: -586
XU4 Microsecond: 4487197, ADC Sample: -491
XU4 Microsecond: 4495224, ADC Sample: -515
XU4 Microsecond: 4503246, ADC Sample: -465
