ADS1115 CONFIG: 0x8488
XU4 Microsecond: 2193053, ADC Sample: 1129
XU4 Microsecond: 2200911, ADC Sample: 711
XU4 Microsecond: 2208767, ADC Sample: 1050
XU4 Microsecond: 2216623, ADC Sample: 631
XU4 Microsecond: 2224476, ADC Sample: 974
XU4 Microsecond: 2232332, ADC Sample: 672
XU4 Microsecond: 2240187, ADC Sample: 903
XU4 Microsecond: 2248044, ADC Sample: 637
XU4 Microsecond: 2255899, ADC Sample: 846
XU4 Microsecond: 2263755, ADC Sample: 596
XU4 Microsecond: 2271610, ADC Sample: 740
XU4 Microsecond: 2279466, ADC Sample: 573
XU4 Microsecond: 2287319, ADC Sample: 557
XU4 Microsecond: 2295176, ADC Sample: 502
XU4 Microsecond: 2303030, ADC Sample: 395
XU4 Microsecond: 2310891, ADC Sample: 477
XU4 Microsecond: 2318743, ADC Sample: 327
XU4 Microsecond: 2326598, ADC Sample: 433
XU4 Microsecond: 2334452, ADC Sample: 304
XU4 Microsecond: 2342348, ADC Sample: 378
XU4 Microsecond: 2350165, ADC Sample: 241
XU4 Microsecond: 2358024, ADC Sample: 290
XU4 Microsecond: 2365877, ADC Sample: 204
XU4 Microsecond: 2373738, ADC Sample: 213
XU4 Microsecond: 2381604, ADC Sample: 138
XU4 Microsecond: 2389452, ADC Sample: 139
XU4 Microsecond: 2397289, ADC Sample: -6
XU4 Microsecond: 2405144, ADC Sample: 93
XU4 Microsecond: 2413006, ADC Sample: 41
XU4 Microsecond: 2420866, ADC Sample: -87
XU4 Microsecond: 2428721, ADC Sample: -23
XU4 Microsecond: 2436577, ADC Sample: -122
XU4 Microsecond: 2444431, ADC Sample: -79
XU4 Microsecond: 2452288, ADC Sample: -110
XU4 Microsecond: 2460143, ADC Sample: -137
XU4 Microsecond: 2468000, ADC Sample: -287
XU4 Microsecond: 2475854, ADC Sample: -240
XU4 Microsecond: 2483709, ADC Sample: -285
XU4 Microsecond: 2491564, ADC Sample: -312
XU4 Microsecond: 2499421, ADC Sample: -310
XU4 Microsecond: 2507272, ADC Sample: -418
XU4 Microsecond: 2515130, ADC Sample: -463
XU4 Microsecond: 2522985, ADC Sample: -504
XU4 Microsecond: 2530842, ADC Sample: -523
XU4 Microsecond: 2538698, ADC Sample: -600
XU4 Microsecond: 2546552, ADC Sample: -471
XU4 Microsecond: 2554409, ADC Sample: -723
XU4 Microsecond: 2562266, ADC Sample: -573
XU4 Microsecond: 2570119, ADC Sample: -531
XU4 Microsecond: 2577972, ADC Sample: -656
